3,0,3,2,620
3,1,3,2,580
4,2,4,3,880
7,3,5,4,1030
8,4,4,3,900
9,5,4,3,860
10,6,4,3,780
14,7,3,2,570
17,8,4,3,800
19,9,3,3,730
19,10,1,2,230
23,11,5,4,1030
25,12,5,4,1040
25,13,4,3,910
28,14,6,4,1280
30,15,4,3,780
33,16,4,3,760
35,17,4,3,820
35,18,3,3,750
40,19,3,2,590
41,20,5,4,1000
42,21,5,4,1000
46,22,4,4,970
49,23,5,4,1170
53,24,4,4,970
53,25,4,3,880
56,26,2,2,500
58,27,5,4,1070
59,28,2,2,400
59,29,4,3,910
60,30,2,2,340
60,31,5,4,1010
61,32,5,4,1040
62,33,2,2,420
62,34,1,1,130
66,35,4,3,890
67,36,6,4,1250
70,37,2,2,340
72,38,2,2,500
75,39,3,3,720
75,40,6,4,1230
78,41,4,3,910
80,42,4,3,910
81,43,4,3,860
83,44,6,4,1280
84,45,4,3,810
84,46,5,4,1030
85,47,5,4,1080
86,48,3,2,610
88,49,1,2,250
89,50,5,4,1230
89,51,4,4,980
91,52,2,2,490
91,53,3,2,590
91,54,4,3,890
92,55,4,3,870
94,56,1,1,140
94,57,1,2,240
95,58,4,3,890
97,59,3,2,690
98,60,5,4,1100
99,61,5,4,1080
101,62,3,3,760
101,63,2,2,380
104,64,5,4,990
104,65,2,2,280
107,66,5,4,1020
107,67,2,2,400
110,68,4,3,880
112,69,1,1,120
113,70,2,2,320
114,71,5,4,1020
119,72,2,2,530
119,73,1,1,140
126,74,1,1,170
126,75,2,2,310
131,76,5,4,1090
131,77,1,1,180
132,78,5,4,1230
132,79,5,4,1040
133,80,3,3,730
134,81,2,2,290
136,82,2,2,440
136,83,4,4,970
137,84,1,1,110
137,85,2,2,320
140,86,2,2,370
141,87,1,2,250
141,88,2,2,540
142,89,2,2,420
143,90,2,2,480
143,91,4,3,860
145,92,2,2,380
145,93,4,3,940
149,94,1,2,240
149,95,5,4,1010
157,96,2,2,470
157,97,2,2,410
157,98,3,3,760
158,99,1,1,190
159,100,6,4,1260
160,101,3,3,730
160,102,4,4,960
160,103,2,2,290
162,104,6,4,1300
163,105,2,2,250
165,106,3,3,700
165,107,4,3,790
166,108,5,4,1030
167,109,1,1,160
169,110,5,4,1020
169,111,3,2,640
171,112,5,4,1220
171,113,3,2,670
179,114,3,2,620
180,115,4,3,780
180,116,4,3,910
182,117,5,4,1170
183,118,3,2,680
185,119,2,2,280
187,120,6,4,1250
187,121,3,2,660
187,122,5,4,1060
190,123,5,4,1120
198,124,3,3,690
200,125,1,2,240
201,126,2,2,450
204,127,3,3,750
206,128,4,3,890
208,129,2,2,340
210,130,2,2,550
211,131,2,2,460
212,132,5,4,1140
215,133,2,2,400
216,134,2,2,480
217,135,5,4,1010
219,136,3,2,600
222,137,2,2,270
222,138,5,4,1040
225,139,4,3,830
225,140,5,4,1070
225,141,5,4,1110
229,142,2,2,360
233,143,3,3,710
233,144,1,1,120
234,145,4,4,970
240,146,5,4,1000
241,147,4,3,830
242,148,2,2,430
242,149,5,4,1230
243,150,1,1,130
243,151,4,3,810
244,152,5,4,1160
245,153,4,4,970
245,154,4,3,860
246,155,4,3,880
248,156,2,2,350
249,157,1,1,140
250,158,6,4,1240
250,159,2,2,370
251,160,2,2,450
253,161,2,2,380
256,162,2,2,450
257,163,2,2,420
259,164,3,2,660
260,165,4,3,900
263,166,2,2,570
263,167,3,3,730
264,168,4,4,950
265,169,2,2,370
265,170,2,2,470
268,171,2,2,560
269,172,2,2,550
269,173,5,4,980
269,174,2,2,340
271,175,2,2,360
271,176,1,2,220
272,177,2,2,350
272,178,6,4,1240
278,179,3,2,570
279,180,2,2,560
280,181,4,4,960
282,182,4,3,790
283,183,5,4,1080
283,184,3,2,670
284,185,2,2,480
285,186,2,2,490
286,187,4,4,950
286,188,3,3,700
288,189,5,4,1110
291,190,3,2,570
292,191,2,2,270
293,192,1,2,210
294,193,6,4,1300
295,194,2,2,400
295,195,5,4,1120
295,196,2,2,510
297,197,2,2,510
297,198,3,2,670
298,199,2,2,330
